frame_num,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
12,3.0,[727.547484120156 1404.1161355968366 1422.276787279218 2041.4150192761776],[943.5031127929688 1802.426513671875 1187.02685546875 1903.083251953125],0.5232537984848022,NA13NRU,0.5026946152826635
13,5.0,[2192.4154622894325 1169.9564783676824 2809.7479114461744 1772.3475109219526],[2417.90625 1588.09912109375 2590.99658203125 1673.648681640625],0.6264284253120422,NO51YSU,0.05316768973840633
13,3.0,[726.2982508223783 1404.2621356333411 1420.756267679402 2043.2461301625808],[943.4718017578125 1802.43310546875 1187.15625 1903.107421875],0.523212194442749,NA13NRU,0.5026946152826635
14,5.0,[2193.621796077797 1176.172206822038 2814.818237241497 1777.3520863746937],[2415.3896484375 1588.543212890625 2587.59912109375 1672.47802734375],0.6095019578933716,MV51VSU,0.17693575347818497
14,3.0,[725.948051531249 1407.0738143121414 1423.1740560007229 2052.1907329919986],[938.2769165039062 1806.96240234375 1184.478759765625 1911.066650390625],0.563962459564209,NA13NRU,0.5168530531299063
15,3.0,[723.0792314357134 1408.5605018111926 1418.8183220916019 2053.3831522802134],[936.7955932617188 1821.8829345703125 1156.318603515625 1914.3599853515625],0.5854652523994446,NA13MRU,0.2114407460213353
16,3.0,[722.458732746752 1412.9163865397238 1419.6812316489218 2056.865444829803],[959.2699584960938 1826.1456298828125 1167.94140625 1918.6951904296875],0.5466138124465942,NA13NRU,0.1844123806443501
17,3.0,[716.9064344784381 1417.3288082227807 1415.1858434524308 2062.0351978138824],[957.8289794921875 1835.7568359375 1171.0255126953125 1923.843017578125],0.5815416574478149,NA13NRU,0.3599270696259898
18,5.0,[2195.4810989110993 1194.7625401834894 2822.6315954672637 1793.3515285892054],[2421.1220703125 1596.1175537109375 2594.1875 1690.1033935546875],0.6309385299682617,ML51NSU,0.24583967352933936
19,5.0,[2195.8236117000797 1195.7432916383705 2825.2583324312327 1795.107584716813],[2421.060546875 1596.087158203125 2594.22021484375 1690.163818359375],0.6304643154144287,ML51NSU,0.24583967352933936
20,5.0,[2198.0921914016544 1196.8976796374805 2825.7974384304653 1798.196887333907],[2424.3701171875 1600.628173828125 2596.7275390625 1695.7078857421875],0.630373477935791,MV51VSU,0.4518813289837802
21,5.0,[2196.531159711848 1177.5446888254328 2821.599956666264 1792.5382332113172],[2421.150390625 1607.1339111328125 2597.2841796875 1701.6910400390625],0.6157814860343933,ML51YSV,0.05943275765558461
24,5.0,[2194.226003518176 1198.0231938248428 2813.6727891882574 1810.2383357911206],[2424.47265625 1619.255859375 2596.3466796875 1701.387451171875],0.5833210945129395,MI51VSU,0.13893087712144694
26,5.0,[2194.861666508221 1204.26259007952 2813.155408866175 1814.7578536952276],[2425.511474609375 1626.4521484375 2598.78173828125 1708.2490234375],0.6131476759910583,MI51VSU,0.2676330744825289
27,5.0,[2196.8174094013907 1208.2149395550603 2813.733767345096 1816.5295875995423],[2421.14599609375 1626.3387451171875 2599.56689453125 1709.4569091796875],0.6093282699584961,MI51VSU,0.05928542627038191
27,3.0,[691.3610544286519 1445.8005095035287 1404.5451732716608 2099.976442479613],[918.0625 1869.56982421875 1154.2080078125 1959.16259765625],0.504813551902771,NA13MRU,0.1518101154616402
29,5.0,[2200.2251288333437 1213.6012518723117 2816.7856286329034 1822.126005291231],[2426.16552734375 1636.02099609375 2599.71728515625 1723.998779296875],0.668651282787323,IV51VSU,0.04874615917138297
30,5.0,[2201.9430922393003 1219.3558965592506 2819.845577534571 1828.6652283337135],[2426.8896484375 1637.1015625 2597.40576171875 1721.106201171875],0.6464848518371582,MI51WSU,0.07183109252179835
35,5.0,[2202.284119620004 1233.502196880401 2825.3447821065524 1850.9694097883178],[2432.15673828125 1649.56103515625 2613.7861328125 1741.2958984375],0.6336578130722046,AU51VSU,0.13684561971227122
35,3.0,[674.2249638051744 1475.4231140866634 1395.8609883244462 2129.4667091232914],[912.9992065429688 1892.782958984375 1157.5447998046875 1994.522216796875],0.5773801803588867,NA13NRU,0.4351356607222551
36,5.0,[2201.132752773397 1244.146864731209 2827.3099187206185 1858.4148011403413],[2433.92236328125 1658.6444091796875 2615.29638671875 1748.3712158203125],0.6252005696296692,MO35YSU,0.03316864799761213
