frame_num,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
25,3,696.4701304386091 1440.106169247379 1406.6733073078149 2092.388193546467,926.0157958984375 1862.8072265625 1157.5715087890626 1952.098681640625,0,0,0
26,3,693.9155924336305 1442.9533393754539 1405.6092402897377 2096.18231801304,922.0391479492188 1866.188525390625 1155.8897583007813 1955.6306396484374,0,0,0
27,3,691.3610544286519 1445.8005095035287 1404.5451732716608 2099.976442479613,918.0625 1869.56982421875 1154.2080078125 1959.16259765625,0.504813551902771,NA13MRU,0.1518101154616402
28,3,689.2190431007172 1449.5033350764206 1403.459650153259 2103.662725810073,917.4295883178711 1872.4714660644531 1154.6251068115234 1963.5825500488281,0,0,0
29,3,687.0770317727824 1453.2061606493123 1402.374127034857 2107.349009140533,916.7966766357422 1875.3731079101562 1155.0422058105469 1968.0025024414062,0,0,0
30,3,684.9350204448479 1456.9089862222042 1401.2886039164553 2111.0352924709923,916.1637649536133 1878.2747497558594 1155.4593048095703 1972.4224548339844,0,0,0
31,3,682.7930091169131 1460.611811795096 1400.2030807980536 2114.721575801452,915.5308532714844 1881.1763916015625 1155.8764038085938 1976.8424072265625,0,0,0
32,3,680.6509977889784 1464.3146373679879 1399.1175576796518 2118.407859131912,914.8979415893555 1884.0780334472656 1156.2935028076172 1981.2623596191406,0,0,0
33,3,678.5089864610438 1468.0174629408798 1398.03203456125 2122.0941424623716,914.2650299072266 1886.9796752929688 1156.7106018066406 1985.6823120117188,0,0,0
34,3,676.3669751331091 1471.7202885137715 1396.946511442848 2125.7804257928315,913.6321182250977 1889.8813171386719 1157.127700805664 1990.1022644042969,0,0,0
35,3,674.2249638051744 1475.4231140866634 1395.8609883244462 2129.4667091232914,912.9992065429688 1892.782958984375 1157.5447998046875 1994.522216796875,0.5773801803588867,NA13NRU,0.4351356607222551
36,3,672.5256247573152 1479.239089748889 1393.8206044261517 2132.315516304928,908.0494079589844 1897.4539184570312 1156.95849609375 2000.0691528320312,0,0,0
